UsdCreate,Define World,Add 100 Refs to 1 File(s),Save 1 File
4484600,136900,69891400,9581600
3806700,120400,83787900,9952900
4247400,325000,71752500,8836900
4144900,207000,69297600,8439900
4155700,119800,64673500,7910200
4521300,144400,63957000,8489100
3630000,135400,63993000,9934100
4632600,162700,64202300,9698100
3988600,185400,65066000,8420300
4132700,156800,64301900,8981000
3997700,113400,69388600,9129600
4773200,146100,64468900,10269000
4112800,137800,64448500,9111800
3852600,122700,67544700,8958300
3955500,152800,78384700,9183600
4858700,154100,89341500,9491200
4147800,230100,66900100,9243800
4477900,195600,68309900,8641300
4202900,158200,68011200,8443400
4247800,147900,67881100,8735300
4422200,118600,71423800,8674100
3920900,118300,62922900,10480900
4143700,178900,73154800,11985000
3894400,188700,66206100,4561600
4039200,125000,67952100,9033300
4236800,136800,72523200,10397000
5357300,148900,75613200,8734200
3920800,116400,60675400,9501300
3771600,115800,62074300,9245800
4180100,128400,66673200,8886500
3897600,154800,69514400,8329200
3995000,137200,67277000,9054700
4337400,144600,69977500,8847300
4074200,121200,62456400,9455200
3925600,164000,64645500,18002500
3802800,113700,69686100,9101400
4102000,183500,66305700,9020100
3910300,110200,62035700,8611000
3658200,118600,62013000,14857700
8006800,864400,71024900,10689600
3901300,173400,67313500,8324900
4018500,161000,65936000,8786400
4017900,148900,65116900,8523900
3833800,177200,65498000,8325600
3710200,122900,63984600,17461600
4194800,129000,61959200,10723200
3920000,136600,64121100,14229900
3432800,108000,62670800,8219200
3639900,105800,66333700,8301100
3893200,123900,73434700,8229600
4751300,190200,70271900,10362700
3815000,153800,77334800,4142900
3985500,287900,63158800,9257200
5606800,123200,63173500,8394000
4013900,160800,61456600,8385800
3959200,178000,61169600,8139900
3320500,107300,60738000,8060900
3503900,140500,64166800,9066400
3886200,154600,67343900,17612200
4670700,197100,64694400,8326100
3493500,236100,62059700,9993700
4529800,165600,78030400,9660400
4890300,217900,67527500,3438300
3959900,168800,72135500,14470400
3631900,153100,94460200,9247700
4124400,135200,64904000,10902100
4418800,176100,73337800,3524800
4735900,156300,73676700,9432400
4000700,176500,68416700,8476000
3807100,140300,63035500,8731300
4128600,134900,56413100,12093400
4762100,172800,59416400,9106700
4027700,141600,66884100,8840900
3873500,123400,62571000,8921000
4121800,158300,62291300,9246500
4274100,129100,57938900,7880400
3897600,170800,58481100,9221200
3796100,115300,74853400,8941300
3903900,172300,59571300,10228100
4234300,122300,53299600,7835400
3709400,138300,60093800,9760800
3981000,122600,62049200,11110700
4406200,214900,55562000,8503600
3631200,166600,57313200,8500800
4015400,158500,58045100,8640400
3818400,144400,57326400,8774600
4439400,121200,60099400,8821400
3841800,109500,60628400,4170900
4092000,130100,60376700,8567700
4739800,217600,63243600,8320100
3872300,110000,62172300,9262800
3583500,107500,71820700,9892000
3872700,165200,56897600,12937100
3403900,110500,55370500,8797400
3810700,140500,61827800,10275700
4175100,163200,64247300,10085700
3666800,118300,55334000,8729300
3945400,150500,58299000,9204100
3866400,149800,60758800,9942200
3753700,112800,60968200,9056100
