UsdCreate,Define World,Add 10 Refs to 10 File(s),Save 10 File
24232600,1323000,10372600,23263100
23842100,1160700,10151800,22603100
31248000,1297100,11785900,28130200
29554300,1471600,11701400,27037700
23043600,1149700,9780800,21868100
23305400,1190100,10277100,23127600
25764100,1236100,10307200,24178600
24299100,1224000,10375600,23211400
25068900,1152200,9844300,23845000
23915600,1151200,10465400,22700200
23064700,1072400,10011000,22057400
23967200,1271900,9733200,23177600
23143600,1138200,9799000,21724100
26214700,1278800,11148700,25441600
24069400,1233600,10480100,23382700
24670600,1220800,9952200,25270200
23303000,1151800,9692600,22169200
23771600,1409500,10403700,22380200
23874800,1173700,10007700,23345700
25233900,1285300,10538900,23314800
24997000,1303200,10487800,23001900
23313900,1164300,9760300,21673000
22960300,1074500,9763900,22397300
25776600,1240700,10528600,26733800
24712200,1255300,10068200,23365100
23493400,1139600,10002600,21958900
23465500,1167300,9694000,21985000
23689200,1175800,10257300,23396700
25129300,1226900,10366300,22767800
24186600,1501100,10846700,22864700
26908300,1295300,10858400,26589800
23956700,1264400,10480700,23561900
24785300,1279000,10173000,23525200
23546300,1250600,9837400,22507700
23507500,1338600,9800200,22467800
23644600,1195300,9971100,22382900
23870900,1189900,10107000,22391900
24301600,1256100,10257200,23746400
24282700,1219900,10101600,22433000
24463100,1272800,10701400,22721700
28592800,1417000,11818200,24839600
26161100,1213500,11074200,25329100
24256000,1247800,10570500,22745700
24582200,1366600,19659700,23008200
24303500,1232300,10293100,23099800
24067500,1194700,10508600,24944700
25297700,1494400,10443900,23086700
26914300,1285300,11196300,28903700
25812800,1322300,11195800,24444100
24619100,1170700,10285300,23045000
24326700,1142500,10258900,23038300
25188500,1339400,10713700,24513100
36878600,2388200,15278100,34669500
36714900,1575900,13840500,31093300
27343700,1320900,12007900,27274800
28221200,1598200,12463400,29112300
29700900,1389300,12493100,30791700
26015500,1384300,10446800,25541000
24098400,1363700,10524800,24060000
24857700,1219300,10477400,25222100
24597200,1244600,10387300,23320300
25956500,1439000,11288300,23897700
28082900,1452400,13903400,29362700
26761400,1282300,10697800,27988700
27194100,1391900,11131100,25990800
25465300,1349500,10829600,26075300
25933500,1400300,11925500,26915800
28936100,1752600,12238600,28231600
30509200,1445300,10893300,28817600
28008900,1317500,10580500,26412300
25699000,1268000,11624000,25220500
25340900,1307400,11567100,23509000
24852600,1382700,10406300,23894200
24683900,1539700,10700600,23157900
24804300,1209500,10379500,23128800
25477300,1359400,10535000,24335200
25038100,1316300,10160500,22572800
23287000,1194400,9530400,21978400
29092300,1729200,11472400,26450900
24922300,1324800,10411100,23759500
23711700,1092700,10075000,22435700
23710700,1263500,10115900,23420500
24743400,1246200,10180200,22671000
23992500,1292000,11246300,23420600
24384500,1256300,10041200,23231400
28599700,1777900,12796000,26370200
35981700,1521100,14622100,36286800
35645600,1591000,14106000,35009700
38374800,1758300,15498600,37575200
50314200,1859000,18267100,49408800
39658100,1582500,15512500,38294100
46491300,1570500,16892900,48924200
38961400,1604500,15785500,40330400
37091700,1658500,13756100,35820500
34668000,1571400,14231000,31889800
26410800,1387400,11489700,29418100
28144800,1315200,11791700,29865000
31013500,1676400,13640700,31477200
30114400,1449700,12196100,28276000
31260400,1541700,13826200,30352000
