UsdCreate,Define World,Add 10 Refs to 2 File(s),Save 2 File
4353100,4572700,10394600,14899800
4098100,4294800,10166300,14565500
4564300,4777400,10407400,14666400
4443900,4669500,10335000,14632600
4221200,4425200,9984800,14287300
4169500,4344400,10015900,14232800
4178300,4361600,10113400,14431100
4387400,4615900,10719900,15136200
4585700,4792700,10656300,15169200
4260900,4460400,10668900,15224200
4237400,4413200,10406400,14652900
4491600,4703000,10634600,14830800
4481200,4703500,10184100,14942500
4334800,4542900,10254900,14673000
4062400,4234500,10320000,14677000
4482500,4684700,10785700,14901000
4452700,4672000,11045400,15847500
4702300,4916000,11223600,16273100
5748400,6038000,12556300,17375000
4167200,4352300,10818400,15201500
4268600,4458200,10104100,14298300
4284700,4491300,10187900,14440000
4259500,4452500,10294200,14727800
4135700,4331100,10257400,14848800
4117900,4271100,10167200,14385800
4332200,4585100,10294600,14517200
4201000,4384100,9803900,13926000
4253800,4460200,10456900,14775400
4172400,4354000,9933100,14303500
4124100,4291700,10110700,14425400
4070400,4244800,10111300,14411800
4403000,4676300,10886100,15466800
4945100,5147100,11379100,16141400
4243700,4419900,11124800,15988300
4390300,4612300,11278500,16517200
4162600,4351400,10219500,14705400
4244700,4432300,10280000,14582300
4502500,4718000,10649500,14859900
4429200,4630800,10295000,14833600
4225200,4403600,10568600,15435300
4302200,4474700,10222600,14502500
4606000,4789200,10788300,14949900
4425900,4638400,10912500,15602200
5183900,5415800,11480300,16160000
4337100,4546000,10158600,14522000
4790100,5002600,10879900,15273000
4335600,4564500,10873500,15164100
4212000,4422300,10891200,15335100
4671400,4863200,10923100,15415900
4313500,4505400,10483300,15238000
4132600,4300100,10191000,14416000
4408300,4621700,10244400,14460500
4393200,4613400,11206900,15888200
4455900,4649900,11170000,16198300
4665600,4874500,11111800,15412000
4704300,4911800,10962800,15402800
4503400,4679600,10938600,15454800
4815600,5046900,10907100,15445500
4324500,4526800,11349100,15931100
4180600,4369400,10390100,14881700
4279100,4518800,10254100,14551400
4443800,4682900,10497000,15031000
4107300,4309500,10093000,14957800
4351100,4546300,10969400,15864500
4963100,5216800,11308000,16633600
4610900,4841100,11711600,16642700
4644700,4858600,10720800,15246900
4420300,4618900,9991000,14481900
4217500,4406700,10467200,14828100
4232300,4454100,10693000,15201000
4518300,4731000,10661200,14927700
4149800,4365300,10916100,15512400
4229800,4417300,10813400,15319400
4492600,4718100,11166400,16064700
4168100,4376600,10396300,14772000
4056500,4229800,10005600,14387400
4164300,4369500,10381100,14718900
4420500,4637100,10560100,15060600
4419100,4648900,10545600,14924600
4061200,4256500,10471300,14839900
4066100,4242900,9877900,14541400
5186200,5434700,13314500,18512800
6641000,6929900,16255700,22278000
4797300,5032000,11480600,16914700
4623800,4842300,11111100,15877000
4436800,4670200,10270400,14893300
4049400,4256900,10062700,14424700
4087100,4269400,9842800,14216500
4483200,4658900,10776400,15075600
4581000,4806500,10511400,15070100
4470500,4687000,10444400,14858500
4069100,4261900,9921600,14339600
4212100,4406100,10169100,14618600
4370800,4603500,10908800,15373200
4241400,4436900,10072600,14501100
4292200,4499700,10434900,16145400
4323800,4571900,11363200,15944300
4593700,4867300,11002600,15294400
4194900,4372100,9933700,14147700
4327900,4515800,10553000,14956800
