UsdCreate,Define World,Add 10 Refs to 1 File(s),Save 1 File
10395500,1431200,14063300,2608600
2713100,152300,6825200,2484500
2660900,171400,6328500,2357600
2351200,104200,6200500,2312500
2491100,177500,5976700,2338000
2356000,104200,5375500,2515800
2697200,123200,6390400,2403500
2686700,179400,5895000,2778900
2366800,108200,6290700,2791700
2777100,127700,5874600,2413600
2819500,128800,6291300,2434500
2346300,99600,6407200,2602200
2466700,166900,5733900,2520700
2700600,121200,5941800,2483500
2553200,162200,6622100,2535700
2495300,167400,6914000,2610200
2845000,215500,6001800,2612200
2482700,103800,6159000,2610200
2838500,121500,6225300,2570700
2690100,134100,6061400,2400000
2485200,114300,5851000,2549000
2435500,158600,5805500,2413900
2786900,149100,6038500,2428700
2458700,127200,6343700,2694900
2653500,176900,6468500,2522800
2687600,180900,6140500,2521900
2569200,155600,5616600,2531300
2499400,134500,5588700,2356000
2525500,116800,5777000,2629300
2415900,149400,6044300,2567400
2488300,151700,6157700,2413700
2520400,110100,6222600,2588800
2508300,118000,5871000,2528500
2835300,130500,5967000,2466500
2372000,101600,5931900,2445700
2444600,173900,5783800,2482700
2547600,181400,5833200,2525500
2551600,113300,6015500,2493200
2789900,117100,5949800,2416900
2456800,113700,5807700,2790200
2779200,157200,6588800,2823500
3081900,168200,6327500,2513100
2683500,281500,6534900,2511200
2610000,130200,5869800,2636900
2505900,138700,6035200,2384800
2794400,153400,5660300,2484600
2478000,101600,5699700,2439300
2485100,121200,5835700,2475000
2436600,137400,5766400,2617600
2462500,108500,6528000,2509400
2755600,185600,6716800,3864700
2898000,131000,7092700,2699900
2733000,183300,6060700,2917600
2573600,104700,5674400,2511700
2517400,161000,5958900,2420100
2348600,155800,6096500,2549400
2541300,115300,6095500,2518000
3016800,142200,6013300,2796600
2795000,153200,7298500,2772800
2657700,157400,6233800,2514500
2472900,119000,6429000,3083200
2752800,182800,6638800,2542500
2639400,129100,5940200,2519600
2622300,194700,5953600,2638900
2525100,158100,6383200,2487300
2740600,121500,6177700,2476800
3596900,198200,9455300,2837600
2856500,126200,5742200,2462800
2488200,200300,6233500,2710300
2590000,140600,6074800,2394600
2633600,183400,5930300,2565000
2531400,104200,5982400,2699800
2603200,110700,7314700,2646900
2789900,116900,5803700,2580500
2668500,158000,5670300,2561000
2522500,152700,6328700,2705100
2576000,136600,5817800,2585900
2771400,164700,6744000,3119900
2788600,213500,5721100,2769300
2526100,111600,6055900,2464500
2583100,101600,5854600,2392300
2418900,139800,6126800,2602200
2717800,115300,5806200,2458700
2592000,167900,5646000,2396600
2478700,96200,5773200,2305300
2511700,158400,5943000,2562400
2469200,94400,5943900,2521300
2645800,161100,5919800,2531900
2688700,167000,6033700,2578900
2481600,140500,5800900,2638600
2527600,102600,5863100,2525500
2583200,147900,5696500,2496800
2472100,109200,6246600,2731300
2828400,177800,6161300,2691700
2855700,188600,6381700,2541800
2576500,177000,6814900,2547400
2620500,111600,6610600,2911900
2633700,165700,5804900,2601800
2389800,162500,5661000,2436800
2551800,152000,6156000,2617700
