UsdCreate,Define World,Add 1000 Refs to 2 File(s),Save 2 File
4374000,4568500,512716300,538386300
4153200,4341800,533471600,557611300
4128400,4337000,526419200,550319200
4166800,4327600,513411500,536796100
4226100,4416500,527569000,551684600
4229600,4400400,512163100,535945800
4230600,4407200,536742300,560137800
4235000,4422400,508087000,531774700
4364600,4784500,539550800,563111200
4187700,4377100,518447400,542334200
4408100,4599800,531796300,556721400
4211000,4395400,511632700,535224900
4148600,4323200,523213800,550984000
4399600,4595200,518644800,542404700
4120800,4310700,525967200,550134000
4216900,4416800,513053000,536863100
4455700,4677800,523798000,547690100
4162700,4346800,534247800,558145100
4353300,4577900,528467000,552377600
4183300,4357300,528783500,552957300
4220600,4388600,521331700,545152600
4180500,4385300,526628800,552604100
4183000,4350700,511331200,535097400
4599400,4818000,520951700,545962600
4248900,4447200,515037700,538995500
4288300,4464800,526006400,549528900
4230700,4412000,515990600,539721200
4354200,4570900,527670900,551491900
4295900,4487900,519281100,544395100
4247800,4464600,519082100,543212200
4175700,4384400,573037200,596998000
4394600,4634200,533632200,557603800
4284400,4494600,531070600,554754600
4283800,4475600,508066000,532067300
4216500,4428700,527304900,551627700
4159100,4339500,514524500,538224000
4166200,4333200,523884700,548034800
4138900,4340400,516780700,540401800
4241500,4409400,526692200,550465900
4314400,4520700,512054400,535629100
4357200,4525000,539415600,563169200
4121100,4294600,515394100,539560300
4420500,4609300,529139900,552586100
4210400,4379000,527497600,551516500
4676100,4853100,513032100,538437800
4284100,4449600,525289900,549241000
4422500,4613900,524625000,548456100
4236700,4446200,523029100,547471800
4391400,4613200,515880600,539751200
4155700,4334900,523298400,546816100
4369700,4532200,511620200,535197400
4133400,4306700,529282600,553102400
4146900,4322400,517975500,541862400
4195500,4356200,542203100,565962300
4358300,4565900,527557800,551776900
4609800,4836600,524973400,549041400
4151500,4322300,528169800,553216900
4148800,4323200,515804400,539709900
4208000,4396300,521373000,545181800
4136600,4304000,518370300,542441700
4261600,4441400,524663800,551449000
4246000,4439600,518972500,542780800
4514800,4729200,543535500,568235600
4106800,4291900,511388700,534945900
4295200,4461500,524614800,548621800
4252600,4445100,517666400,541430900
4306700,4486700,532392300,555787300
4254000,4442900,515442100,539330100
4561400,4751200,524945000,548767700
4263100,4444200,518129600,541856000
4248600,4423500,524756100,548598900
4284700,4476700,522542300,546287500
4093600,4275100,512634700,536698000
4306300,4480500,525159700,548729100
4109700,4285700,515007900,538567100
4394400,4623800,532567100,556704100
4267900,4445400,514208500,538151600
4215500,4386400,522335500,545830800
4149800,4327000,505736300,529572400
4162100,4334700,536831200,560765300
4486900,4665900,517595100,541489300
4132900,4323700,525177100,548899900
4189000,4377500,509528500,532849600
4164300,4333900,519290300,543352200
4168200,4343000,514609900,538432400
4222400,4408900,523100900,546535300
4552900,4752600,524491900,548060100
4263900,4473900,518208400,542112500
4072300,4247500,526897600,550687200
4501700,4682200,513200400,537202300
4162800,4379400,521176600,544538700
4153300,4338200,514855200,538397500
4289300,4491900,523688500,547700200
4178100,4343600,528101800,551691800
4272200,4451300,524294400,548531400
4163500,4335800,513776100,537237700
4358900,4531800,524315400,547556400
4224900,4420300,516578900,540219700
4238600,4440500,521830000,545497200
4232400,4404800,509849600,535215600
