UsdCreate,Define World,Add 100 Refs to 2 File(s),Save 2 File
4911300,286600,65210300,9107800
5069600,254400,60567800,7948300
5210600,308900,57429300,6700200
5548600,251800,61021200,7352200
5212800,271100,69082600,7480400
5282100,279100,56394100,6814000
5082000,203900,54518700,7469800
4905700,258700,55525800,6838600
5017600,269100,54620800,7468600
4930800,273400,56147900,7131300
5071400,233800,55417600,6617300
4587900,198100,57103800,6964300
5711500,239500,59880100,7626500
5362400,263400,60328800,7305300
5401800,213100,59723100,8217700
6996200,279600,76545300,8881400
4947000,281300,56417700,7776200
5139900,276100,56076100,7968300
5408700,297200,68801900,7450300
5310100,210400,56002900,7501300
5072400,287500,55580900,6978100
5240800,256900,57793000,7452000
5531400,248800,57022700,6713200
4740200,215900,57737600,6944800
5222200,279400,56833500,7156100
5265000,238900,57672600,7326100
5732400,288600,57401000,7252300
6108400,305500,59202100,7776600
4889800,224800,55216900,7752600
5068200,239400,57637200,7590500
5191500,236300,57215000,6869600
5068700,232200,60297300,7544300
5711800,355800,63038900,8459800
5585300,329100,64148400,7324400
5099000,229000,56552400,7112400
5509200,268500,59828900,7758500
5916600,343700,56687400,7326800
4713300,255500,55928400,8094700
5284200,217000,55552700,7028500
5314000,226100,60451700,7522000
5343500,316600,58114200,6968000
5373800,263800,58265500,6891500
4999400,224900,56853300,7058900
6375900,240300,61160200,7514100
5435700,246200,62308600,8049800
5388200,271700,57257800,6971000
5411400,248500,56751600,8062200
5510700,224300,68044800,7501600
5157400,214900,56050900,7378200
5287300,225700,60245500,7723800
5122600,290600,58996600,6752900
5458500,223100,55947400,7315000
5183800,277400,56624000,6948900
4706900,220500,54084600,7502000
5342300,231000,54779200,7389300
5246100,231700,58993300,8566000
5265700,263700,52549800,6336800
5246200,229700,61025900,8050100
5576300,349200,59257600,7220800
5060800,256800,57010600,7058300
5196100,221000,56687500,7211900
5000600,292000,64009800,7158700
4993200,247100,55769500,6984800
5068700,227900,55427000,7228200
5033200,196800,56225500,7993800
5193600,233900,57767900,8031700
5259800,235200,57205700,7806800
5207000,260400,55381400,8503500
5137300,248000,55959500,7005600
5118900,239100,56493100,7304100
4842300,194600,52752800,6618100
5335900,272200,55467600,7104900
5144200,304100,58508100,8419800
5183900,216900,55556200,8092900
5143600,291300,57139800,7391700
6787700,366400,70665800,8280700
5727600,286900,69648900,6799600
5030000,259500,54411300,7022400
5211400,301300,57582400,7231000
5058200,222200,56878800,7255500
5987100,242400,60578400,8280800
5259100,252600,57460600,7235300
4797700,208300,54226700,6979500
5573600,304400,59461300,7669200
4835200,197600,56711700,6496000
5036300,256800,55380800,7106000
5717900,232600,63230500,7391400
4855300,257900,59215500,7404300
5053600,257400,57130400,7904600
5895000,208400,59684400,7099000
5444600,277500,62440000,11615400
5127900,295000,55944000,8185600
5288000,324800,57485700,7190500
5385700,228100,55159300,6709100
5040700,301600,57771600,7497700
5346000,294300,57432800,6672300
4797200,220600,53065300,7405500
5297800,279300,61665700,7244900
5878200,263500,57363500,7614100
5145900,328700,56327300,7158700
