UsdCreate,Define World,Add 100 Refs to 5 File(s),Save 5 File
16798100,17435900,70674000,98719100
16686900,17302400,70976800,100506200
17201200,17827600,73059300,122528800
16795700,17381800,72680300,101588200
19329500,20004000,79888100,136815000
17249700,17845400,69726500,99818900
17083600,17780200,70739000,99921400
16888600,17481400,69672200,97361100
16646400,17229800,71152600,100311400
18443900,19084400,87474000,120262300
16813800,17415900,75407200,125132000
16281300,16864300,68487700,96859800
16465300,17098200,68590500,96686900
19284600,19940500,77339700,113995000
16604800,17242100,69631300,100213800
16315700,16935000,69251000,128783700
16800300,17393200,70529200,102251700
17237500,17949700,72460100,101560600
18239000,18865100,77139100,142014600
16903400,17596900,70570700,98348000
16099700,16691200,68508500,97571600
17367600,18012900,71573400,111253900
17833300,18537900,78719800,111982500
16168600,16877200,69078000,96643900
16096500,16675400,68290000,98431300
16796500,17418000,71063700,101784500
17109400,17863400,74024300,102335000
17669000,18344100,72203600,100598500
16579800,17185300,68560100,96424000
16446200,17001100,68161300,95854300
16689700,17279200,68715600,97191500
17241400,17860200,69732100,98275900
16699800,17276700,77192300,108289400
16749500,17346400,68970600,105558100
17143500,17777000,71418500,101110400
17064000,17699600,73610200,102870300
16767900,17378300,71510200,99841500
16499100,17143200,68186000,101841700
16033200,16648400,68166400,96278500
16035300,16653800,68378300,96618000
17533800,18138100,71665200,122678100
17297200,17920000,71178700,106963400
18382000,19084000,74782600,125605800
17645400,18252400,71897900,101040800
16600100,17175700,67795300,96096700
16393800,17023700,68817300,96698400
16972900,17586100,70111400,103727700
15856700,16471300,68294200,95923000
16477500,17072600,69571400,97747500
16744600,17304100,70094100,98821100
17524300,18257000,72121200,101574200
17912800,18560200,74254200,115805600
19466400,20164200,80098000,114402300
16167700,16772700,68203200,97680200
16890100,17537600,70367300,131939700
18408800,19008600,73230300,109579100
16739400,17346200,70018100,97447400
17984500,18651700,73505300,103534400
16460200,17051800,68537600,97181300
16464000,17044500,69288800,97430400
16267300,16901900,68307600,108971100
18002400,18668400,77578100,135063000
16064300,16657700,67743900,96685700
16270800,16853600,68101700,103669600
16371500,16903700,67967500,95809700
16772100,17379700,71780200,110630900
17193000,17852600,72150700,105820600
17058000,17706000,72435000,100745600
15956000,16547500,67704300,121206700
16410200,17049800,71928700,103113000
17634400,18270900,73765100,104966800
17532700,18178600,74293600,102639800
17631600,18281900,71830000,101222600
16138700,16769900,67398800,103771900
17358400,18014300,71862600,102764200
17279200,17910800,72772400,102025200
15959900,16573200,68126900,96475500
16285200,16884300,67892400,96463100
15740700,16335400,67487600,99705600
16703100,17307200,68999400,100091000
16107700,16757500,72768400,106467600
18238700,18970700,72644700,102247700
16500800,17197400,75617000,105027200
17279200,17919800,72495900,102233900
16926200,17576400,70326800,99269700
16618000,17185000,68669100,123787800
17185000,17786400,73929900,104601100
17154200,17744900,73442800,103179600
16772000,17481600,71762300,103535800
16355400,16924300,68617100,95690100
17665200,18277700,75105700,142610800
18325900,18945500,77698400,108073100
16667100,17289900,70186800,98686800
16255200,16832800,68022000,98608100
16190900,16785500,68402000,96188500
16196600,16810800,68960200,98003500
16217200,16810100,70127400,116977100
16265400,16868700,68884800,96976800
16387300,17025800,71394100,99678900
17430300,18086700,76668800,112058100
