UsdCreate,Define World,Add 10 Refs to 5 File(s),Save 5 File
12701000,750300,8341600,13058500
14396700,801300,9282600,13573500
14418500,810300,9156200,13584100
13079600,610400,9079800,12534100
12250600,592000,7931600,11817300
11999500,687400,7527200,11516100
12305900,632600,7898600,12694700
14425600,729300,10728500,13793900
12265600,613700,8574500,11942400
12107100,675100,7585700,11738000
12084500,611600,7493100,11445400
11788400,613000,8064600,11814100
12066600,570900,7717900,11372700
12603400,719100,7882600,12211100
12223300,713600,8358300,11836700
12561700,663800,8607000,12566600
12619500,826400,8618200,12099600
11741000,679500,8219300,12797500
12025700,597500,7615100,11410700
12463600,657300,7874400,11721500
12938700,747800,8228600,13001000
11866300,585100,7955300,11490400
12968400,635400,8173100,12140400
12665500,681900,7972200,12899000
13644600,635600,8722300,13619500
13441400,787900,8629300,12478800
12198900,617700,7628800,11338000
11857800,612600,7775400,12857800
11992300,665200,7476500,11309000
19002100,777000,9548000,15737600
13439600,896000,9411000,13190600
11755500,631100,8638300,13091200
12459100,895800,8465500,11896900
12298600,603500,8609300,12369500
12154300,599100,8023200,11747000
12356500,579300,7475200,11593000
13206600,615700,7779200,12539600
15905000,658100,10177400,14896200
12184200,640800,7813800,12318500
11789400,661800,7695700,11512400
12304500,620300,7994600,13030700
12166500,639400,8077100,13430500
12063000,573700,7569200,12233600
11393000,598700,7808400,11813900
11736200,583300,7944600,12983600
12673800,731700,8482300,13632300
12295900,674300,8135900,13018200
11945700,603000,7420800,12170900
11912400,647100,7938100,12153800
12236000,630600,7826100,12499100
11896700,622800,8720900,13630600
12990800,573900,8386400,13029200
13175000,623400,8464300,12868300
12331300,707000,8133700,12344100
11678800,550900,8019500,12777100
15068400,688700,8920400,14509700
12473800,651300,8232400,14563000
12658800,659800,8821300,13216200
13149300,652300,8265300,13937600
12668600,656700,7887000,16133300
13368100,629500,8480800,12831100
12617900,682000,8266900,13762400
12253800,686000,7865000,12757600
12289600,586500,8097900,13061300
12088700,558100,7437200,12087800
13339300,591000,7681200,12263800
15979900,1318100,12049400,15955600
12887800,680900,8502700,13955900
11947200,579900,8051500,12652900
12202600,593700,7630700,12452700
12156200,618500,7606500,12893400
12997200,666400,8201200,12928900
13215500,634400,8136200,14122900
12747200,659300,8868000,14076600
14659000,712500,8669200,13205700
14101300,581500,8806300,13982700
12052600,534100,8345900,12799200
12364300,583900,8056000,13711000
12246000,570500,8607200,13234100
12985400,715800,9011600,13558200
13586500,643000,7880600,12981700
12837200,603500,7760300,13787300
12931700,574200,7679300,12907600
12805800,691500,8385500,12536200
12399800,605900,7866500,12712800
13024000,741500,8028400,12736600
13634000,772500,8201000,13129500
12635900,642600,7560800,12610000
13511700,670900,8836000,12362700
13952600,667100,8584200,13963800
12871800,738400,8356500,12576800
12530100,677600,8447500,14261700
14543900,718200,9012100,13931100
14141700,716200,8964500,15025300
16772800,839500,9821200,17045500
15223600,700100,12348300,17563500
12506500,651100,8224800,12620000
14034400,769900,8569600,14489500
15049900,779700,9847600,14200100
15060200,749400,9700200,15715600
