UsdCreate,Define World,Add 100 Refs to 2 File(s),Save 2 File
8743300,321800,62474500,15533800
8013000,291000,60801100,15539300
8101900,230000,58342200,14369800
9224800,425800,69954300,16493200
7448100,240400,56946800,14581700
7565800,260000,56797800,14202300
7759000,273000,59761200,10989100
8753700,309900,62137000,15748000
8375100,339100,58205700,15251800
8823600,355500,60461600,38832600
7583400,261900,58753100,15607400
7954100,251600,59958300,14549000
7804300,260600,59941800,15080100
8366200,331400,60815900,15208000
7017800,207400,55775000,14637900
7480400,222100,56912300,33745000
7004500,277600,58702300,14154400
7834800,265400,58348500,15416600
7506700,275100,62820100,26461500
7817300,295400,60877400,15473400
7770300,298700,57319500,14852100
9416600,279200,71994100,20550700
7852500,254400,59986400,14531400
7549400,237900,56583600,16519000
8209600,308500,61695800,17017400
7434500,344900,60653200,16254900
7379200,214700,57428900,14032400
7983300,318300,71641900,16217200
7601800,296600,55831200,48114100
7282700,264200,55362300,13632300
7479100,274900,60364800,15905400
7144800,243700,57008600,46919600
7474600,289200,59290300,14305900
7858100,342700,59979200,15240100
7728100,247800,61557900,15278200
7871500,308500,61386600,15794900
8387100,260200,61979100,16105400
8518200,356100,61966900,14946500
7080000,258000,66250500,14719200
7455400,290200,57054700,15592800
7040500,285600,58923400,15455500
7160900,269300,55500900,14573800
8696000,324700,66735800,18101500
8516900,256100,63663900,15672700
7888900,229700,63298100,16419100
8317700,260100,59471700,14592200
7664500,283600,58232400,17776500
7540200,273300,56695800,13775100
7732300,309900,62760700,15415000
7836000,231200,59021000,14592600
7189000,258000,68777700,19256500
8424000,256800,60794500,14615000
7599800,330500,55498600,15586300
7895900,264500,58010300,14411000
8219400,427400,61322100,15067700
7965500,306400,57985900,14988800
8076600,345400,60293300,16809800
8841900,306000,63929400,16456200
8072400,225600,55403800,14334200
6812200,221200,53622000,14556400
8025000,291900,59842200,15334400
8523200,268400,66521100,14850900
8034900,254700,57391600,22003800
12216400,307700,60660500,15203600
6885100,225700,55510000,14490100
8028200,229400,55901200,14293700
7677000,287500,56849100,15140800
7923400,358100,58641700,15289600
7106800,296600,57849900,15591100
7862600,299900,60769200,14967300
7880500,319000,61288500,17095500
7170500,269000,55033200,14646700
10900800,268200,77919500,21460400
8476100,265300,63507200,50673500
10316100,338600,66931400,16783500
7966300,265700,59194000,13983700
7960500,308200,58077300,14796000
11900200,251700,58562600,39803100
7600100,336100,57999500,15462100
7328400,249900,58786700,10856600
7452700,315000,61122900,16078300
8376900,317200,63190600,15548400
7465500,282800,60272500,13692400
7116300,329200,57086800,44354000
6916000,344200,56991300,13858400
7382500,209100,56004100,14766100
7128300,282600,73813800,14552400
7328500,246100,56549800,14743900
7310100,275100,57665800,15075900
7265800,302600,60352100,14478600
7355100,289700,59240500,17189700
7574100,256800,58869300,15108300
7130400,237700,59851200,13668600
7585300,293300,60043600,10470400
7473000,221100,59082100,15583400
7429300,313900,65775200,17788900
8161000,291300,62630200,16312600
8280600,277200,56872100,17064700
8121900,293200,62335400,21641100
7844800,250300,57539200,14729500
