UsdCreate,Define World,Add 10 Refs to 5 File(s),Save 5 File
22336600,23111100,32446000,63722400
17445400,18049000,25852200,49065200
17004500,17692200,25938100,52212800
16074600,16686500,24183100,45442500
17721300,18377300,26707900,53672300
16154300,16803800,24300200,46654200
17313600,17905900,26220300,86783800
18477000,19150000,27762300,51887700
18810400,19499000,27747000,50596900
16001700,16659000,24660100,43293700
17622200,18276800,26684500,53198900
17144200,17788300,25468700,50081000
16953500,17582300,25538400,50914000
16887600,17484800,26201600,51771100
17074500,17673500,25630700,48279400
17675500,18334300,26815500,104120000
17822600,18413700,26787100,49619400
19039700,19771800,28469600,53606600
21485000,22193100,31384900,61957600
18076700,18698600,26560100,52840500
17012500,17645800,25622800,53918900
17005600,17637200,26273600,67456700
17950800,18546300,27336400,56031500
18568400,19280800,27637900,48266500
16686100,17353800,25975300,45455900
18801200,19445800,28036500,49154300
18200500,18811300,26803900,53442700
18268000,19041200,28208300,53900400
17765500,18413100,27592800,54753400
17747600,18349400,26576300,52231400
16284600,16886000,24703200,42558800
17337300,17949800,26603100,49988000
17541000,18124300,26556500,62322100
18160500,18794100,27921600,52052200
18565500,19246600,28324200,49205200
17045100,17672800,25542700,49263600
22854400,23584700,33209600,79974800
17547900,18206000,26992700,54112400
18257700,18850100,27920300,57946800
16896200,17495800,25753000,47726700
15658800,16202100,23994700,48623000
16781500,17363400,25043100,50974700
16726400,17294800,25379600,51425500
16830800,17478000,25951900,53698900
17634200,18341700,27209900,54247400
17654600,18301300,26530500,54273200
18258600,18944800,27629000,47607500
21090100,21814400,32115300,71743500
16074700,16642800,24423300,42175300
16437500,17093100,24942500,47254300
16137900,16735600,24206000,45073800
18210500,18869200,26975100,80360300
17178000,17781000,25671100,51853200
17099300,17642700,26170900,57137000
19829900,20586500,30255400,62705300
17262500,17852900,26322000,45723200
16514400,17213200,25360900,51774200
16936600,17583200,25654900,53582600
16452500,17072900,24622500,46497500
16879300,17582400,26549000,44904100
17095700,17745400,26425100,50981600
18117600,18716400,27737100,74439900
19182600,20004900,29206600,52489900
18223000,18882400,27031800,83413100
18999500,19689900,29009200,50668400
17609400,18238500,26736600,179158300
18898200,19589900,28314200,52333900
18998700,19713700,27743000,55051200
18999400,19795100,28215100,52454100
18044200,18683700,26906500,54717800
20681400,21458200,30576000,59450200
17300100,18037900,26478400,41677200
16187100,16751700,24338300,50066000
17496100,18078100,26575100,45486900
15842800,16391600,23963700,41932500
17279100,17926800,26761300,56036400
16891400,17496200,25720900,44530000
16656700,17289600,25385800,49767800
17108600,17704900,25698200,74487700
17866700,18497500,27455600,46365800
18049500,18766000,27527000,50647700
17578600,18202200,26641500,42035000
16794400,17347200,25104400,49195000
16529600,17130800,25288300,47361500
18555800,19203800,27789700,61940300
17936000,18552400,26899100,54064800
18409600,19038100,27450800,50863500
17998000,18691600,27010800,46464000
17529500,18208200,26770900,76122300
20872500,21630000,31030900,53921200
17124500,17640600,25707700,41132000
16807700,17450900,25493100,53806700
16868200,17513900,26166900,76269000
18789500,19454400,27983600,56420000
17443100,18138100,26552200,86826200
18336200,19017100,27387400,56182000
18033300,18674400,27350600,72177600
18212800,18849100,27042100,73438700
18216000,18838700,27616700,50732300
17220700,17799700,25524100,44696100
