UsdCreate,Define World,Add 100 Refs to 5 File(s),Save 5 File
12097200,756700,64140100,14882400
11851200,709700,62163300,14033000
11269700,582300,58203800,12690200
11623600,606400,64200600,13646600
12869300,654300,61148700,14123700
12202500,578000,59298500,13670200
11648800,485500,61398100,13802700
13118200,656000,67516000,14067200
10788000,473500,54996100,12860100
12311800,652900,64723300,15273900
12671700,718000,72210600,15237400
12640300,624200,63404200,14057600
12343300,701300,63942400,13857900
12325800,762100,61988300,15683100
13438100,772800,73656500,14803000
12123300,740700,65279400,13998600
14465900,879700,65385700,15667100
12963100,627700,69260700,14620000
12901300,684800,65263500,13491800
11150400,629300,69858700,15019700
16247100,945100,73087100,18976200
11424300,564200,60213000,13549000
10955000,548400,56958200,12826500
11327100,523000,58320200,13058500
11554000,512400,56887600,13313200
10628400,542600,55344700,12371500
10306200,504700,55277200,11910400
11943900,529900,58327300,13615100
11459000,560600,58630800,13992900
11596800,524600,62388800,13703700
12208300,795900,62803600,14208200
12092700,671400,64084700,14905200
11830800,627400,58740600,14187600
13677800,624100,62764000,14128500
11574700,580900,60561200,13607400
12234700,554200,58356100,13884200
11094600,568800,56336500,12970200
10955100,562800,57176700,12434400
10983400,557500,57667400,13463000
11037400,551800,55450800,11958800
11338800,559100,58906800,12295100
11459800,593600,62232900,13658700
11651700,617000,63588500,13520700
13169100,595400,62837200,13576300
12278800,584700,57606400,13898900
11358300,651100,61471400,13260300
11794000,613900,60092900,13083100
10651100,537800,57811700,12319400
11806400,651400,63939700,13333000
13412100,729000,64926900,14273000
12126800,575700,61790900,14111400
11473500,591900,59183800,13033600
12024800,647500,59687500,13187700
13986900,574400,66132200,16040400
10898900,651800,60168900,13682600
13013400,793700,62059200,13952500
11862900,604000,59851600,13014500
11556200,620400,60413500,13244400
11098100,518700,56134400,13128600
11030400,511900,58326000,12918300
11080300,529800,57166900,13458700
12760600,590100,59512800,13730700
12080100,645300,61055000,13983400
12362500,616800,65420700,14484600
12247200,620600,56949100,12907900
12543500,686900,69943500,16270400
11908000,515900,58415500,13315300
11586800,542300,56346400,13010100
11413900,549500,60341200,13914700
12247700,634400,57871700,12803000
11232200,599800,57399900,12838100
11235200,478500,56001400,12338500
11818400,662600,65221500,14830700
12384000,608500,59986700,14404000
10622500,582500,58590800,12378100
10930900,473900,56976700,12975600
11136400,509100,55505400,13139900
14598200,729600,67183500,14707700
11736200,553900,57349200,12765700
10452500,468500,55195400,12255800
11395500,573800,57557800,12371300
11487200,538200,61256300,12972500
10458600,553900,56124300,12543500
11123100,539300,56740900,13815100
13049400,656700,68273700,16423100
11880000,589100,59687500,13374000
11690400,584400,58106900,12841900
11238800,522900,59688900,13862500
11038800,520000,57654300,12548800
13325300,730800,69776800,15363000
12616600,650400,63382600,13899200
11693000,621600,60694800,14191200
12324000,740700,65309700,14373200
11731900,544900,58882500,12703400
10964800,586700,59542500,12713300
11284600,532800,58093300,13163200
11653100,589900,61170400,13613800
11154800,671400,57984100,13037900
11151500,546800,58489900,13458500
12052900,603500,60771800,13822000
