UsdCreate,Define World,Add 100 Refs to 10 File(s),Save 10 File
48731000,1593000,73646200,94693400
42557400,1264200,68813100,108721400
45212300,1463800,77689400,124142300
53953900,1612500,76210200,99582400
48274200,1710100,73342800,104622100
45676700,1393000,70680000,95239700
41072700,1220100,67965900,87249000
45650500,1281200,68640400,120070500
40828700,1308100,63413500,77007700
40199400,1130600,63484500,83461900
39959700,1167000,63042600,80054000
43360700,1284500,66928600,83006800
43532400,1319600,70216500,91061000
41070100,1123100,65862500,77534300
40752900,1207200,64498700,77494600
39560900,1052100,63491900,78046000
42598100,1297400,65947300,90743700
41063100,1293400,67617200,82508300
40871800,1264800,63454600,124405900
39617900,1185200,65363900,91800900
38967400,1277000,64014400,82367800
39758300,1300200,64013100,112261900
42308500,1335300,69055000,106170900
44803300,1492000,69469000,99286100
40063200,1231800,64138500,93306800
41646100,1212500,67159400,86416700
42259600,1279900,69266400,83538200
40526500,1233600,66098900,82344100
42406700,1258600,68926000,81128200
41517600,1425400,69150200,101982500
42386400,1280000,65369000,82729700
43352400,1410000,67757300,106203500
38733000,1182400,63176700,88457900
39948500,1230500,64747000,106125900
45381800,1482200,76261300,91497100
49688300,1591800,74836600,106577100
44445000,1578000,76498400,96773600
45911800,1440200,67445500,106955600
40350800,1209200,64599000,83256000
43144600,1395300,67302300,90677100
44936100,1391600,70247400,88559000
44942500,1622700,71019900,89001200
41481800,1100800,65730600,125354100
42039800,1294700,65222500,89359600
43634400,1339600,69885100,85849400
41095000,1203400,63424600,127308300
44943800,1258300,72326300,95607500
41630200,1331400,69365600,81541500
41635000,1293000,64760500,90050200
40800400,1234500,65197400,105809800
40817700,1303100,64468900,77674200
50366800,1375400,70718300,112934600
44665700,1280700,71606100,87961900
40671900,1398800,64034600,106557300
40106500,1146800,66402000,103745700
40376900,1165900,64269600,119760400
44315900,1419800,69663500,120333400
42175500,1343900,69556400,87175200
40485900,1289100,64552400,80572500
40405100,1211600,64419300,121010900
48506500,1521400,73447000,90167100
49960600,1493900,75190800,93416400
44897800,1202100,70092300,149395600
40671100,1172000,65662700,82326700
42755100,1275600,67587900,80306000
47971500,1498900,76280700,95959400
44870500,1488700,73340100,88633500
48312200,1585800,72080400,167692100
44149000,1321700,68293300,86186100
44293900,1384200,70605700,88914100
51156700,1535500,80727400,101169700
43435200,1393500,72731100,88109800
47361600,1540200,72077600,90040600
41780000,1213800,67139700,85526600
45560600,1413300,73333100,112051100
42007100,1436000,66647400,81875700
43019000,1331900,70381800,90544300
43072300,1286600,67654800,85671600
41108500,1277000,65793200,88744900
43195800,1150700,66412300,93963400
43193200,1295200,70050300,84911300
42806700,1235400,64682700,148564800
43388300,1233600,66748300,84927400
40780400,1554400,67961100,90083300
42918700,1354900,68667300,84488400
42443900,1229600,66768100,95816500
39772000,1106300,62449800,104113900
41591500,1167300,65727000,82115400
40916700,1289800,64229800,95892300
43105900,1256500,70926900,85646100
42531200,1276900,68563000,88741000
41436100,1193700,64626100,83495200
39002900,1069100,61546100,132445000
39799000,1182300,64098400,74616700
44481900,1343300,73411900,114727700
40505800,1384900,66459700,88200700
41120400,1326800,63729300,134641200
44885100,1451600,70340200,97305200
44032500,1340600,73227600,177531100
49465000,1465800,79544300,99022900
