UsdCreate,Define World,Add 10 Refs to 10 File(s),Save 10 File
26547300,1651400,13069700,25037900
25537200,1379100,11733000,24688500
26714600,1548600,12661800,26304000
27547200,1428300,12572000,24887800
24654600,1473800,11519200,22887600
24450200,1172200,10554700,22408600
24462400,1247600,10892900,21856800
23965700,1269100,10881100,22952500
24100100,1351400,10604100,22619000
25355400,1360000,13703200,24202800
24818100,1424700,11091800,22233500
22116000,1130800,9693300,21630700
24847400,1602200,12405800,24295200
25730200,1458200,11126400,22862500
30694000,1713500,13137400,25615000
31806100,1577500,13210000,28397900
26599800,1392900,11664000,25977100
25850600,1309600,11640400,25846500
22771500,1189900,10093500,22935600
26193400,1106600,10231700,21234200
24176100,1173800,11004900,23532100
23306400,1183000,10779200,22264200
22730200,1046900,9628200,21253000
21488300,1009900,9478900,21693100
22520400,1218800,22434500,20930200
26046000,1530100,12022000,23080500
26281000,1543500,11994700,23456300
24741900,1216900,11453300,22904700
23616900,1278400,11170000,23784400
22594300,1188800,10549000,21460900
24570900,1383900,11169900,23650000
29369100,1603800,17948600,30998300
33651900,1472600,14009800,30710700
26515700,1527000,12103600,25085700
23816700,1123400,10876900,22329300
25367600,1219600,12005100,24004700
25271200,1577600,11783000,24221900
26901400,1519500,12964300,26000000
29368400,1621700,12729000,25729000
26121800,1320200,12182700,24110000
24442500,1376500,12212100,23331700
25070900,1439500,12264500,24164300
23116300,1054100,10454300,22588900
23858500,1099600,10558900,21431900
23038900,994700,9663300,20241200
20990800,922800,9453100,21799300
22152200,1111100,9750500,20122400
25163000,1375800,11506100,23450700
22219100,1175900,10025800,20854900
23315500,1166200,10377800,21445300
22618500,1196100,10584300,20722500
23360700,1294800,10639300,22545500
24883100,1319800,12369200,24444900
23551000,1227900,10507700,21279400
21016100,1067400,9917900,20587900
23426500,1148200,10235200,21202200
23571800,1192400,10833400,22414300
22446000,1142400,10514000,21903300
22648100,1259600,10206400,21158300
22657600,1091200,10541000,22243600
22956600,1121700,10292400,23311000
22465200,1111700,10312100,21012200
21731100,1030000,10357000,20869500
21400000,955000,9359200,20111300
21851500,1198500,9660200,19855900
24562200,1291400,10980300,23483400
21739500,964400,10464000,20053800
20759200,1039100,9146500,19368500
20922500,983100,9522900,19689000
21037900,1054400,9720600,20101200
22632700,1032200,9913600,20711900
22190100,1073600,10349100,21625000
20956900,1157700,9872700,20277700
21343800,1067500,9393800,19553400
22699600,1085900,10058100,20994000
22921100,1231500,10858000,21375300
22901800,1085600,10500000,20806000
22126300,1102100,10092100,20326500
23783700,1218600,10609200,21751000
24203600,1070900,10913500,22634800
21500600,1195300,10092000,21332200
22110500,1107200,9537400,20170800
21484500,1012700,9530600,21519800
21569900,1081200,10367700,20778200
22357700,1143500,9882600,21058900
25097600,1201200,10309300,23020200
21790300,1149300,9648200,20183400
22490500,986800,9317300,19962600
21684500,972900,9554800,21325300
22970500,1091000,10069600,20959400
21974000,1456700,10043200,19909700
21104800,975600,9368800,19812900
22535400,1404800,10944600,21860800
23436400,1201000,10934800,21379000
23994800,1307100,10610700,23594900
22336100,1171300,9946300,20674800
22196000,1015300,9542900,19819400
25092700,1373900,11772700,25108200
22527600,1106000,10363400,21050900
21660900,1163700,9887600,21194900
