UsdCreate,Define World,Add 10 Refs to 10 File(s),Save 10 File
41185000,1453700,12311400,95622100
38451300,1360300,11564800,91604600
39031100,1258900,11290200,58910200
40314500,1219600,11268400,66913100
39312900,1253000,11564700,70751800
42219700,1237200,11656100,81262700
39533800,1404200,11304000,87490600
44370400,1345200,12027600,99487600
41996600,1458200,12193900,104502500
41891000,1206600,12157900,69160300
41772600,1158500,11289600,69241700
42296400,1126300,11267300,108164800
43583100,1410400,12201300,98499900
42152400,1290100,12511200,68070700
41588900,1245700,12376500,71095600
39140000,1286100,11355700,63739100
37540200,1167200,10991100,64442100
37108600,1153300,10813700,67297100
41039000,1386500,12250300,98989000
43650500,1262100,12689200,93555200
41070400,1282900,12466100,71191200
39874500,1248800,12012100,72915100
39181800,1228700,11634400,66605500
38117300,1062900,11236900,66932500
37548600,1138300,10748700,62875100
38159400,1151300,11488000,66680200
40896900,1237500,11954400,72466500
39453500,1221300,11553500,96493100
42393200,1450400,12857500,82681100
41656900,1268800,11932500,70963700
45192500,1665200,13767800,82349600
39619500,1337100,11280000,66939000
37920900,1219100,11357600,65698000
37118400,1191900,11097000,64882700
39611200,1300100,12259400,72570800
43768300,1326500,11951500,73563500
41039200,1294600,12107100,75536900
41322000,1213700,12081000,111870500
44424400,1478200,12468000,73625900
41991800,1478600,12539200,72043700
38618300,1269600,11369800,64813200
37987300,1203900,11626500,91520600
38670600,1104500,10197700,67407600
40036200,1223200,11584200,70103500
40897200,1297700,11789400,70695200
43754300,1271700,11841300,99995200
40185300,1195700,11755600,68356300
42710600,1175800,11732000,104135600
44105200,1379800,12322300,76426200
39811200,1508100,11811900,67620500
39665500,1228500,11238400,67181900
43048300,1365200,12269000,68220400
40512900,1255800,11129700,69273500
42789100,1409500,12659000,79090700
44115700,1362400,13111600,76171400
38814400,1155600,11005400,64741800
39113900,1136800,11285600,66151000
38497400,1213300,11127700,89800500
41257600,1177000,11325900,65261800
42184000,1373300,12623100,72699300
51939500,1584300,12881200,144231500
40353000,1283100,11969400,74300600
39117500,1174700,11072400,66668900
40385700,1138400,11458900,81941200
42386000,1262100,11549700,70038700
39009300,1231000,10721100,65458900
37949700,1159900,10927000,65475700
40529700,1335900,11770800,113833500
38924800,1128000,11699000,64510100
40094300,1150000,11517100,66902400
38816100,1155300,11208100,64656500
37070800,1142200,10817700,75338100
40470900,1312200,11447600,71527300
41890500,1250500,11783400,66458400
40304600,1161100,11076200,68183700
41982500,1339900,12362300,76521300
37595300,1207000,10796300,65415100
40042800,1154400,11750300,66134400
41212700,1347100,11306800,65387900
37220400,1149500,10983400,64739000
43747500,1217700,11356300,68755500
43119300,1232700,11389600,76209800
41241900,1226400,11927900,87331700
44050500,1275000,12623000,69788900
40095900,1247300,11858200,87342600
41824700,1215100,11385200,83453700
41250500,1231700,11536100,67492500
37161300,1120500,11310500,62268000
41359800,1236200,12145100,70706300
40912900,1231900,10847700,68419700
39333800,1231300,10993300,71985700
42147900,1288300,11667900,101427700
38572400,1265400,11884200,62929400
38147600,1110100,11090700,66360600
41295100,1240200,12095300,67044700
38175900,1092400,11037000,62989700
43140100,1285000,12086300,71004600
42795900,1262400,11730900,72759200
42146500,1258000,12158800,69068600
43698900,1682700,12780000,85446500
