UsdCreate,Define World,Add 1000 Refs to 2 File(s),Save 2 File
8322100,350700,639990300,31060700
7979600,238400,684150400,35629300
9743400,322200,708873700,34514000
8842900,322300,616520400,35292700
8878300,237400,647495600,31945500
8189900,233400,641963400,34672400
8958600,338600,631830500,32074300
9244300,301700,648330400,62769700
9961800,418000,626437000,30468200
7996200,260400,624233600,31714700
7784400,272200,639919000,36825400
9602800,330500,626987400,37469800
9212500,290700,604373400,31797400
8077800,294500,669546700,38746500
8754500,304900,635201500,32587700
9385100,300400,628425400,32214100
8112400,264100,625686700,30649000
10068100,264200,667893800,32455300
8369800,280300,612211900,29172000
7937600,269400,634789900,32087300
8979900,223500,672850300,46861400
10354200,352900,665827000,35540800
8868300,270200,663532100,35402600
9898200,253100,676754700,30803900
8788400,291800,668748600,34817900
9155000,315900,647303500,38276600
9675800,319100,638232800,35462000
8982500,330400,613051200,30217500
8448800,286600,643277900,44286500
8911900,304900,632308800,37684000
8874800,259400,626737300,46105600
8682800,265500,655632000,40205300
10571300,316500,630421800,33967000
8084200,240400,627545200,34327500
8361300,250300,656830600,48260300
8406000,217600,704460000,32695800
9928700,341800,742745000,50798700
9304400,351900,706355900,33202400
9887900,321100,668770800,34414100
9629700,310800,658926300,36479500
9242900,363500,690585000,39245300
9334200,318200,665335100,34409100
9641900,269800,655559300,45815000
9145100,305600,689321800,32828600
8642800,310600,665708700,32227600
9071800,366500,700025800,42208400
9322300,289900,603204100,38623100
9928600,239500,609629400,30037100
8114900,316200,629200900,31221600
8190100,272100,624615700,31126800
11255300,285700,606819400,33717400
8824200,313000,623447900,32669400
8650500,244200,600781400,35080100
9544300,287100,602870700,34136700
8582700,268700,607731000,32212500
8494700,281900,623249000,34765400
9732300,271100,626172900,32798900
8223600,245600,609865700,43408800
8635700,254300,623071300,33008600
8385100,256300,616932200,35035300
8246400,331500,644525300,56321800
8730400,283100,608759400,32896500
9465100,286700,631809600,31462900
9717700,333100,642193700,30301800
8217200,256900,602720900,33933300
8788900,262800,648157000,59200700
8202800,237200,616868700,35363900
8840700,272500,612209200,36102700
8680300,269500,625777900,31974500
8896200,260100,679736000,34691500
9186200,275900,743127700,34564500
9458900,344600,690774700,40194500
10127200,313200,661765200,36605700
11104600,326200,646692500,39670600
11218700,355000,626168400,33968200
9753000,345800,643830700,36364500
8406400,270300,594110400,31327900
8491400,286400,618975900,30359200
8794200,263000,643176000,31753200
8983100,248300,625653100,55332500
10714800,357200,646004300,36162700
8861200,251900,646220100,68156000
10681000,261200,611397900,56375900
9706700,268600,614279800,35901300
8518700,271000,648664000,33799400
8673100,234600,617198200,32086100
8859700,261300,667444400,37697900
10924600,441400,668195000,37317700
8872200,252600,623274700,34409800
10551100,291100,721295300,56860800
10052500,367000,701472400,35697300
10380000,306200,682488200,35547100
10457300,305300,655015700,38947200
10903400,293200,711957700,44629000
9256900,322600,625904100,34680400
10637500,347100,620581100,35972500
10614400,330700,651302400,42346600
10733000,276400,623863700,39237900
11005800,289800,637209300,38245100
9213100,283300,654999500,33179500
