UsdCreate,Define World,Add 100 Refs to 2 File(s),Save 2 File
4487100,307000,61080300,6433100
4267600,232600,55682200,7352100
4589400,210900,62395300,7273100
5613300,248400,62288500,7374300
5011000,224700,64173800,8374700
5358400,270600,65207200,7695100
4645000,209300,61046100,6389000
4632200,306800,57350600,6402200
4192400,183800,54301200,6217000
4742500,222900,57407900,6565400
4321100,210800,53468000,6080900
4389800,241500,57319800,6853700
5696300,326100,89198000,8954800
5200900,344400,66847800,8356400
5904500,292100,64261800,7316900
4781600,267600,62902500,6994200
5435400,379800,69425900,8418900
4955100,244000,61900800,8305000
5009500,220800,60820300,7428200
4999300,296600,64620500,7071500
4896700,207100,62418000,7746900
5305000,270400,60637500,6774300
4820000,312200,57274600,6604600
4357800,247300,57400800,6562400
5300900,264800,57904300,6647600
4360700,187100,57806800,6716400
5368100,241200,62818500,6902000
4554400,252800,60209200,7051400
5365200,250500,63704600,8903800
5028200,270400,61522900,7122600
5247700,254600,65483800,6861400
4701700,222300,56385000,6920200
4666400,223600,57846300,6630300
4810500,202300,59846800,6862800
4677700,196100,56027900,7138800
4624500,240300,62303300,7016200
4819900,256800,58840200,6275800
4453900,259400,57572300,7672900
4629900,239900,59589000,6972200
4844900,417200,60716700,7304600
5629400,288700,63361400,7260700
4500000,216600,58373000,6605700
4675900,245400,57797800,6908100
4820500,233000,57274600,6685900
4865800,272400,63414300,6748400
4687200,225200,57366900,6760000
4933300,642700,60380000,7845700
4547500,230300,58041600,6548500
4312700,220500,58609200,6610700
4343200,265400,55869500,6168500
4290300,201900,58624900,6608200
4623600,242800,56449500,6616100
4288700,298200,56188300,6144800
4245400,214500,54085600,6023300
4608800,195000,59070700,7060200
6605300,287800,63024700,7518800
4447800,245200,61759300,7599500
4983700,219100,58200200,6443300
4427900,217900,57325700,6487600
5666900,295500,61390000,6466000
4377700,190600,55533900,6418900
4995600,204200,57785500,7312100
4524600,203800,55423000,6215300
4727400,267600,61766700,7081900
4465100,234400,58590800,7619200
4840600,205100,58755700,6825400
4242900,190800,55868900,6907300
4847300,236400,60938400,6526000
4392700,222800,60733500,8047600
6982500,324100,65163900,7906800
4626900,208000,56901500,6965500
4996400,302700,55513100,6460600
4258200,206400,56500600,6792600
4852900,231300,63612700,7778600
4819400,257000,58671700,6844400
4912000,266100,60278600,6797000
4528900,259500,58297200,6300700
4587400,240200,59270600,6685800
4631700,258100,61057200,6883300
4660500,245000,63747800,6689400
4564700,227900,59883400,6871500
5033400,251300,61494100,6988300
4718300,227700,56702400,7322300
4941600,279200,66766700,6786400
4558700,240600,57291700,6370400
4529300,239100,54816500,6501600
4665800,246300,56313400,6369500
4371500,220900,56961800,7171800
5159700,321200,57482500,6664000
4763700,243100,59920100,7227000
4834500,270200,59519300,6847500
5250700,329900,72804500,9169600
5732200,333000,71216700,7339200
5179700,276900,63377800,6957200
4465400,227300,57883300,6671300
4678500,207500,55232800,6513300
4390800,268200,57551500,6384300
5253200,285600,68767700,7866700
4933700,286800,56836500,6263800
4518200,291400,57613100,6733900
