UsdCreate,Define World,Add 10 Refs to 1 File(s),Save 1 File
23663900,1584400,18999500,2727200
2887900,183300,7391400,2853700
3005100,151100,9614000,4064500
3071900,232400,8079400,2941400
2671200,143800,6290000,2903200
2745900,127600,6553100,3315600
2618200,119600,6314200,2475900
2332900,100200,5992300,2313200
2212100,130400,6210500,2889900
3362800,142500,6379900,2264400
2125500,110800,6163000,2307600
2215300,100000,6529700,2456000
2222700,108000,6256100,2552000
2490600,170100,6847700,2474000
2266200,144800,6584400,2396300
2211600,103100,5961100,2638100
2443300,149300,6307100,2483200
2448700,114400,6461900,2421700
2321600,118900,6328700,2661300
2132300,101100,6254200,2180700
2670900,89500,5798400,2281200
2203600,157600,6434800,2271700
2195900,95400,5847600,2641400
2387600,114100,5857900,2960200
2283400,138200,7090800,2546700
2515100,118400,7041000,2571200
2416500,114400,6771700,2911700
2707600,177500,7385900,2825300
2391800,182200,6584500,2475700
2382300,122300,6294400,2418500
2399300,140100,7172400,2396700
2152200,111400,6019500,2202900
2424700,132300,6368700,2330700
2093100,135600,5979800,2232100
2134300,105600,6159400,3234400
2302200,100200,5851600,2312700
2205100,115200,6211900,2431200
2295300,93700,6501000,2494600
2233900,122700,6594500,2366400
2379000,134900,6939400,2345000
2414300,117400,6033200,2355700
2377100,123700,6228500,2478900
2223200,94700,5829300,2320000
2064300,111200,6772700,2448800
2428400,96400,6282500,2408300
2242300,101300,6530000,3069300
2580800,109800,6419400,2402900
2332900,137900,6644000,2392800
2357900,137000,6440800,2401700
2360800,111800,7023600,2672900
2591300,151300,7222600,2795100
2814200,145000,8925200,2828100
2965500,216000,8249200,3804700
2778900,154700,7465300,2680000
2774700,185000,7131200,2527600
2506600,152700,6711100,2398000
2470500,107800,6369300,2340800
2689400,109900,6778200,2825100
2878400,179400,6819500,2437800
2810200,138900,6928400,2410200
2208600,178700,5912100,2524000
2450200,156500,6141800,2934400
2594600,127800,6131700,2455600
2296000,135100,6165000,2476400
2258800,105800,6139700,2361100
2175700,98000,5935700,2161900
2786400,112600,6365900,2388900
2476000,181000,7207300,2726700
2478600,181000,6971400,2663200
2412100,130100,6261800,2467700
2205200,126900,6518000,2838600
2546400,136500,6531200,2742800
2426400,142600,6689300,3179700
2708300,138300,6802800,2633000
2357900,136200,7094100,2458000
2438200,165900,6843600,2873600
2269100,119300,6792600,2459700
2168200,91800,6358000,2400000
2555200,111300,6123200,2815200
2454700,95600,6500900,2567500
2411700,122100,6035100,2443800
2283300,168000,5812500,2381600
2205900,138600,6039500,2271800
2194300,101600,6351900,2377400
2105200,89500,6138800,2228300
2249800,101600,7334700,2684700
2522200,105500,8095400,2822100
4149700,144300,8900800,2906600
2688700,130400,8557000,4114000
2603200,187300,7923800,2755700
2510500,149500,6644100,2480400
2295200,106100,5858100,2369700
2159000,115100,6222800,2421200
2401800,111100,6945800,2380900
2221700,110200,6615900,3091600
2432300,119500,6037100,2442300
2660300,135500,6364700,2451400
2816800,101400,6142900,2333700
2196400,90500,6400000,2727100
2383800,129300,6295600,3020600
