UsdCreate,Define World,Add 100 Refs to 1 File(s),Save 1 File
8845400,583100,113339800,12243900
5128900,215300,109288500,9512500
4068300,177700,94456800,9478000
4471900,90000,130079200,11434100
4723300,299500,108794800,10904500
4163600,210000,123754100,11994000
5331800,489800,114228900,10246000
4032700,172100,103236800,14089400
18869400,221200,114148900,12322400
5680900,209000,104148200,10389500
5106900,196800,115290100,11689600
5452200,203900,112842000,10263800
4494100,183500,105227300,23285300
4007400,172600,144805800,9396600
4971700,102600,111545100,9005400
4203100,99900,109009400,10929000
4371700,85700,108013200,8601300
3931100,165300,115591200,10973800
5660800,488800,120796200,10408100
5935500,114000,109623700,8598500
3868100,86200,107974700,9113000
4014800,101600,112845500,8756800
3992400,83800,123350800,11310000
5049100,205300,114946000,8872600
5165400,91200,105454500,20033900
3896800,164300,111381700,10372100
5165700,210700,131938300,12932000
5984800,120800,111530000,8387400
4104800,365700,107044600,8905100
5575500,109600,111916300,9791500
4440000,208600,120744200,15976800
4462400,166100,118749500,11620500
4460900,152700,111150900,10704300
4770700,173800,109899200,14765000
5117900,114200,130006900,11596400
5342900,112400,112446700,11233600
4255400,90600,113609600,10439000
5494700,203600,117959200,10169500
5041500,91300,119110800,17255800
4609700,154300,108163000,9701200
4344900,157300,105392200,8968200
4082200,170400,106304000,9746400
4278800,111900,143269500,11594100
5893600,184100,110287900,8583400
4020500,420600,108392000,9001100
4112500,80800,108823800,8688100
4125400,141500,107261700,10004700
4502000,161900,114347100,9962800
5293600,111400,113464300,9403100
4801700,163100,98967300,9601400
7599300,193900,101470600,11478400
17983700,221700,98709400,10101000
14037900,196200,108737800,8445900
4453900,120800,105833200,10398700
16529900,184100,98391900,10154500
15638200,201900,106149700,11959000
5019500,98800,116025300,9409900
4238800,87200,135222500,12932300
5324800,215400,101316300,12150900
18325300,148900,120743600,10214700
4875300,183400,117306700,9878500
4927200,98200,113930200,9158700
4421200,91900,117907000,9120500
4763100,506700,105527400,12894500
4373900,182500,107195500,10420400
5759000,90600,107424600,9528100
4493800,92000,108519000,10097700
4879300,95600,111647300,10496400
4764500,232200,122887500,11177500
4985700,223100,114035200,9872000
4178100,200200,104263100,9798700
4806400,92500,110591100,10082800
4136700,174600,111116200,13040600
5651800,225700,116977200,9174800
4537400,191300,107118800,9899000
4213500,187700,123742200,8988300
4471800,182500,125717800,12837400
7356600,241100,119563800,10041700
4117800,176700,103480500,9702400
4219600,99200,112004400,10440400
4592400,165200,117498600,11391700
4848300,190700,123183900,10544000
4498300,188900,113384600,10195700
4498100,190000,112824200,10169800
4985900,187900,125049000,12610200
5719000,250000,116104400,10239800
4407800,185500,108864200,10604100
4799800,225700,113358600,15748900
4610500,175500,115626400,11995000
4859400,210700,119557400,10095400
4230500,91600,105689000,9942500
4736400,193400,104628200,9416400
4268900,191200,116912000,29392600
7331100,162100,120296500,9974000
4028000,174200,105031800,10279100
5337500,188800,109606300,9564800
4476900,210400,105237000,9788600
4190000,176700,111491600,10529500
5248300,133000,115690500,10325800
4976900,198400,106702800,10124500
