UsdCreate,Define World,Add 10 Refs to 10 File(s),Save 10 File
163424700,2269300,46349400,150329900
82317200,2455800,75154700,100801900
70129600,1963800,86919600,81974700
124212200,1613200,49319700,101300800
72667900,2041600,86930900,71360600
118430900,1929300,67779200,95106300
83279900,2005100,69076800,92603500
91096100,2482500,45148500,69047800
65138400,1918500,55336200,76993200
94251100,1956600,57022600,103393000
103062700,1831600,33815000,72008500
78836100,1853100,39833200,83627600
63762600,1783400,74144400,74295300
79002200,1917600,63330400,83097700
112582600,1991200,71831300,89727300
60392000,2110200,64412300,70699400
94632900,1950800,43577500,67174100
107190500,2017200,18534300,81156100
124289200,1943800,34341000,102850700
88757500,2072600,38998700,76650300
68713900,1916300,47744400,131893600
85294000,1688500,51840700,81565100
75707500,1805900,46458100,104795600
59664400,2130400,69581300,80745900
105330900,2152100,80977500,80235600
88864400,2132200,43718500,79620500
68627200,2282300,55332600,73685900
91117800,1921100,41771000,73340600
72573700,2025600,82963400,72298900
99676300,2166800,52601000,78189900
117599900,1936600,50354800,102080900
80893000,2220300,53841400,78663200
55954700,2155700,77932500,72345400
61671300,2008900,46810300,103254900
118903400,1974300,42646700,79899300
83422800,2178800,41754400,73199700
78163700,2083900,45711200,80425800
122798100,2001400,70938200,86500300
88671700,1973300,47089500,63321600
86052200,2177700,37204500,71676600
77761000,1870300,57297000,69231200
72991400,1823200,100549500,98023300
95086800,2033500,57566400,92954000
74917400,1972100,46156000,70951900
39764300,1720700,82981400,72792900
72334900,1940600,45483900,75716500
114445100,2019700,62108900,78648100
99498300,2071300,32987500,97364100
82707800,2285300,51866200,86612200
86769600,1822800,41168500,76861500
91262900,2527200,132881800,141158700
118346400,2073000,39662900,83975500
117184900,2034400,36194200,102324700
140937700,1904200,48404800,100148200
85368700,1800800,44522300,101103700
109081400,2331200,54834200,130843600
78421500,1911300,52389300,109617800
79873000,1800200,40454000,66230500
88011700,1912500,40627700,68113500
73258700,1932500,99412900,104222200
65898800,2201400,64341100,66945800
76148900,2125600,47968000,69724000
97337200,2060500,27659100,87030200
100560200,1946200,54226200,123040400
107666500,2362000,29518900,85639500
92242300,1834400,40460900,73557000
67299000,1951400,59967900,82183300
50418400,2155900,80694300,73956200
96752000,2098700,65569700,93278000
77062100,1766400,47594600,70123300
135759400,1812900,51576800,68296400
77940000,2289500,52464800,79005700
109268000,1759200,46346700,72620900
107802100,1767700,35420700,110378800
116625500,2006000,35013200,78347800
74618300,1902500,49772900,82223100
82541500,1852100,45862200,89719600
73075400,1937100,59816700,72424300
84550300,1952200,40709700,96886800
85345800,2111400,53638900,87108900
85194100,2143000,69179400,111768100
90857200,1905200,33210500,89787600
106032900,1897500,22222700,70790000
84342900,1974400,72891600,96413900
80799600,1941700,48128100,74572200
73780100,1704800,76535000,74291000
75281900,1743300,41298200,79552900
104091900,2103100,56031900,99423100
79629500,1645300,45312700,70699500
61344900,1766100,51267700,67986100
88988000,2154500,39152600,75393100
101971900,1947300,38204500,147853800
97947600,2040000,40071500,90447800
74758500,1907700,43269000,75029400
115498500,2066000,11497700,67440500
84913900,1987400,48365000,106156300
91714400,2032200,41606500,90939900
66071800,2267200,75967900,73422600
91414000,1866500,52674300,76445200
80138000,2002800,53542300,71567100
