UsdCreate,Define World,Add 10 Refs to 5 File(s),Save 5 File
58644100,994000,35413700,48895200
59678500,876100,26896500,39340100
20171600,756800,47079000,40412100
57554700,806000,18438400,64583900
37162300,745500,65505300,41627700
43489400,1006500,46271200,47333600
56679100,1052100,27117700,38841600
46290800,1014900,39033800,46572800
36032100,1645100,56662400,43978200
38963500,1002400,36776600,38957900
37577100,985400,27474900,41816100
75344500,911800,18339100,41562700
44536000,814100,35101200,36176600
29869800,1103600,52997200,39786000
49391100,985000,39297000,44741000
34018700,9233100,59284800,40145200
42851500,849200,60675900,51280100
52146000,788200,49601200,40724000
96289000,1119200,11177000,42289300
60338200,1064300,34472500,40966900
33122700,1045700,50501000,38883000
38892300,1057000,48415300,40312400
40829300,1017900,85639300,42742600
51307700,9178200,36863800,39101200
38811600,706100,42950500,38297900
75451100,1235400,38679700,96039000
24242100,1074200,53024300,68183000
28261200,1018400,70092600,39014600
42244200,991600,65477400,38664500
41382900,1069300,44590500,49588900
71613200,968100,58775200,54096100
66956300,892800,12270600,65183400
39519600,1143700,52945800,170208900
57723100,790100,25020900,41190600
48371600,1017400,42726700,43343400
54051300,993100,29950800,41778300
48067400,933000,28980300,39712800
75656400,970500,52675800,48572600
47338100,1075300,67910600,47741600
25342800,987100,63322900,34428800
20181400,848600,54675200,55714400
48472100,919800,41931100,39262600
28857200,810000,42751500,54375800
59297400,989500,22383400,49779900
30661400,1090000,61536200,52307100
34211400,864500,30322700,51945500
38179000,782700,31653700,45438000
50677500,1169300,37844100,49172900
37494900,884100,29192300,45055300
22421900,664000,9139400,39881100
52011100,1276000,46943500,52008500
29304900,1077200,35201300,42741100
66543500,821000,22187600,35604500
26320300,1089100,81718300,40327300
62509900,936800,13222400,42855900
51918300,1022100,43848900,60705200
28456200,855000,35619200,40187200
49623000,1126600,30761700,48150300
69429800,1214500,25076700,45327500
48854300,944400,26135800,40440700
46256500,966200,38698700,40138400
22878100,941200,66268500,44163000
37444300,920500,45749400,39406500
57422500,1176300,38362900,52404900
48022600,931700,21970000,37400200
47349600,751100,25866400,41249900
53733900,894100,52855700,47297000
38428800,842700,30511400,48728100
29942000,724200,51474400,56830900
23447600,817600,58425800,54172400
42617500,829200,26392700,41548500
77141900,922300,19189300,40593000
46124600,866800,25554500,84192500
46436100,979200,38585200,43217000
36946600,882800,30334600,42213000
38587200,1027300,40566900,39982500
51787700,1330300,83889300,57702000
88287200,920400,21296900,39874200
62547900,876700,16712400,49877500
37679500,971100,31015300,55920900
54035200,1162200,30269000,45710300
47251500,1138700,67701000,63339900
24601700,946300,82603500,42939000
42857100,1011100,20952200,37282200
24880500,1203700,196342800,41355500
48964600,1157400,38239200,41582400
43230300,932400,44820700,42809900
30169700,965400,34657000,42730500
32663300,840800,48482600,67495400
42061300,1347200,47654400,41846500
69331100,864000,21417400,57970500
60621400,907900,15227700,37571000
84745600,828500,23229000,35487100
48281400,841100,24809100,48643200
43596900,981600,59275200,50441400
42074300,843800,30550900,46492700
71904100,934000,18272400,39989800
47574600,13177700,41751500,40451000
48700000,1258000,40000900,49483600
63387700,1105900,30825500,42462900
