UsdCreate,Define World,Add 10 Refs to 2 File(s),Save 2 File
12207500,714800,20459700,6132600
6119700,276400,19175700,4986600
7040400,210400,19246800,5140200
6218300,355200,24170200,6689300
9592000,472900,25932600,6364100
6966400,342400,17576200,4726200
6155800,315400,19356900,4823100
6271600,286800,17716100,6389100
6286600,278700,17877900,4596300
6224300,184700,15516000,4946000
5923900,249600,17691000,4749400
5447000,302500,17321700,4608300
6295100,261500,17340700,4637300
10089700,2982500,11623000,4948800
14039100,351600,12286000,5183300
7425700,330300,9526700,4614000
8417400,317300,16511300,5209700
8292100,413600,17148500,5745300
6065300,647800,21815700,5615600
7004900,373900,17247700,4936200
5682400,190500,16619200,5013100
7816900,309600,14901400,5966800
11811200,397000,13794800,5105100
8329400,448500,14885100,5231700
8155300,373500,15764500,4643700
9172800,282500,11825400,5074300
10704900,362100,20206400,4775800
6619400,284300,20049700,5998100
7072500,275000,22294800,6854200
7410500,342300,19203300,5140200
5990000,205200,18126200,4934200
5881300,176500,15767200,4434700
5382900,505800,17295000,4853800
6233000,195800,20153000,4785700
5495400,187900,16103200,4656400
5605100,222000,16135700,4503800
6350800,248500,15271400,5796700
6749600,215600,19393400,4850700
6847800,232700,18098400,5276100
5860100,237200,16857900,4576300
5620100,191400,16396100,4927600
5997700,195600,20945000,5641100
5838600,490200,16673100,4848300
5748600,211700,18288300,4797800
7648800,348000,18804300,4679200
9214500,386600,13642600,6720900
5199000,406300,16405800,6395100
5216000,489700,13389500,5651200
9834100,213000,16350800,5377000
5180400,378500,8010200,5155800
7070900,743100,16922700,6646500
8755000,3596500,13608800,5041100
8573100,338400,17182500,5055000
14942800,401700,13543700,6712300
13307300,734700,22796600,6502300
6679800,485200,18933700,4880100
6846400,3160600,15237100,5416200
5820100,184700,18199400,4992100
5951400,288300,17920000,5024900
5562100,550900,17406300,4453200
5692700,335200,16610700,4350700
6001200,171300,17133900,4641500
5600800,314000,17854100,4619100
6340900,220500,16938300,4629000
4843000,336700,19172800,4355800
7937700,306800,11812500,4652400
4987700,262000,12943300,5070400
11065900,466700,13940400,5253900
12575400,541700,10488000,5122500
9729900,306100,15794600,5000000
6315100,754000,17657400,5116500
5548700,303900,18529300,4874600
13237600,356900,17044000,5371200
9316100,303900,12649100,5311600
10853500,374900,12292400,4658000
10217200,407400,16320700,6559200
5865600,315900,13955700,4897100
12637100,310800,11699800,5109100
6140400,373200,20532400,5365900
8079500,307400,23162600,5954100
7050100,310300,18520000,4948200
5944200,192900,16637900,4757000
5428900,282200,17083300,4454900
12713700,252700,11572100,5348800
5799100,183900,16435600,5779600
5654400,207100,15437300,4451400
5243700,276000,17764200,4299200
5202700,206700,18593200,4585700
5673900,177800,19757800,5228500
6403500,287800,18096200,4737900
5617500,177300,17251600,4726700
5819600,520800,17689000,4788900
7234100,315800,17826700,5121800
5815000,176200,17448400,4682100
5490800,162500,14931200,4757800
9435900,361100,8619300,4635900
11353300,417100,13291100,5274800
14138100,377200,10614600,4751500
12264700,477600,13936300,5366100
9012200,427500,10288300,5136300
