UsdCreate,Define World,Add 100 Refs to 1 File(s),Save 1 File
6253000,288700,208967400,4833200
5131600,936300,190769700,4674400
10022400,173500,179574900,5442400
3677400,412500,203548400,4501800
7924300,107100,198399700,4891200
3257000,621800,207514000,4457400
9402100,543800,192606000,4841300
3923300,198700,200380000,4466700
3966500,192000,230255400,5062100
6078900,730300,231527700,4825500
3051600,578600,199122400,4570600
3205700,4921600,203003100,4615400
4202600,408500,204384800,6925200
3912700,192400,199396400,4837800
3495400,821100,211836900,4331200
3529500,284100,198782800,4304400
3019700,937500,192908600,5051600
3326200,342700,211180600,5266200
3605900,707800,189410400,4262000
4486800,449600,193186100,4585500
3909500,94700,211709600,4426800
3595200,229400,189782500,4282300
3044500,238300,203674300,4205200
3559400,216500,206964600,5902900
11910100,726600,169566000,4351200
7622600,309200,197175500,4714100
9414000,140200,181202400,4847200
14823400,7076800,207117400,4378600
3203900,270200,188652600,4195100
3433200,4898100,180519600,6258100
8761900,186300,196682200,4558000
3623800,341900,194450500,4655500
3345400,1222500,191758500,4786300
3812900,445000,211958000,5321600
4683600,142200,223410600,5526700
3913300,799000,200294600,4890500
3919800,1315000,209597600,4857300
3588100,656000,203313500,4649400
3466500,587000,202841700,4635800
3472000,608700,200614600,4728000
3266500,592300,200949900,4939500
4048400,1192400,184399100,4445600
3080100,647200,208664600,5287000
4100100,1144800,192062300,4313200
3354000,602700,198273200,4614500
3155900,713500,199192400,4699300
3430100,691100,195613000,4510400
3063900,739100,196272800,4809800
5102200,501500,191254100,4662700
4596400,894300,215575600,4330100
8115400,467700,175421400,5616800
3956500,1006000,224235600,6348000
3212100,154200,195620700,5026800
10722200,242800,197110900,4067700
8709800,248200,194767900,4334300
9334100,608100,196012000,4212600
3128600,391400,184433100,4479700
8208900,184300,188418300,4400600
3291900,733700,217682900,6701100
4534500,703200,226719300,4460300
3572900,118700,201674500,5055500
3471500,623100,210187800,4644300
3883800,634200,202944000,5484700
3656000,307000,200735600,4135900
2735100,532000,212476000,4713900
3486600,565200,191330200,4425200
4117000,750500,191303300,5475100
3548100,364300,222118500,5319100
9081200,868000,189683600,4355400
8299200,375400,199407700,4338300
2783800,634000,201692400,4673700
5374700,501700,187911900,4416900
3650600,675200,210524800,5004000
3536600,238800,228824500,6917600
4421400,1196800,170357000,4405800
5492000,398400,186762400,4324600
8604300,336100,195077500,5293500
8973900,219300,200184000,4866300
15812900,627600,202064100,4649000
3547600,116700,201591300,4207200
3403000,170900,207868500,4374100
4778700,396800,199105300,4538000
3107100,602400,197046100,5315100
4544600,780300,228627400,6434900
5846000,129300,206060400,4754800
10707500,712500,207159600,4443400
4210400,1053200,211042700,4599000
5901100,820200,200554800,4312400
3696600,845900,178602500,4318700
3532100,492200,210037200,4411500
3629900,436700,195069400,4254000
3481700,189600,187870600,4596800
3099400,534300,215376500,4753700
3672400,1078700,193566300,4609900
3101100,274600,187763800,4486700
3586300,299600,197410300,4319600
4135300,146200,196768600,4655800
8385900,820600,189898600,4616600
3338200,643700,205028400,8203000
4476700,344300,197464600,4255700
