UsdCreate,Define World,Add 10 Refs to 2 File(s),Save 2 File
18368400,528000,51669100,32971200
49692700,343300,85187000,16129200
70990600,1664500,38261800,15071000
40419700,9705600,45190400,14525600
17405600,9319100,48177500,14620000
13339300,512000,85223300,26538900
11815400,431100,98030800,23631700
15099900,1144200,89640500,18131100
12984800,1132700,88690300,16873600
11835900,999000,90119300,16228100
21870500,8592100,72466000,23646500
28024600,919500,95736300,16956100
12984000,1456000,82785000,17135700
12020900,17423700,90030500,25300200
42013400,1452300,63444000,17522500
26833600,590600,89839600,17685400
34674500,1751500,96634900,21139000
11458100,755500,75860900,22411500
36529700,1316300,37109300,14726700
52852700,433000,28609800,22985200
50920700,1355100,72060500,15382700
33720700,1151100,56997500,16192400
50251900,302400,29588900,17223100
34513100,10490400,55378200,25497100
21833400,958200,55476100,14850500
22770000,1007600,98985700,16890800
14442700,9159500,73750200,56374200
75728400,9734500,39406200,17742900
49695700,8129600,48397300,14784100
36206100,1163100,80221100,16003400
30997200,387000,76967300,19305400
26493300,669900,84157900,18927300
30034600,552900,44952800,18273500
32893300,433300,76795300,16209800
23226900,864200,49602000,15597800
54051900,9230000,51907800,17006300
30336300,685800,68496800,18866100
11099100,1195600,111014100,16997800
11531600,934700,85797400,16425600
9550300,1210300,97518500,16170700
12635100,845200,92879500,16493000
13476400,548600,85870500,20750300
44767800,809400,51991300,15340000
35578900,1329400,56166400,24931400
13778600,395100,77930200,14741200
11405600,480900,97113200,16179400
13030400,1019400,72947400,22829400
28454200,919200,61212800,27506600
19521800,938900,74280300,15994400
16400300,7442600,31236700,16170800
44733300,1634200,45729200,18506300
36349200,9152400,91907500,15324400
26853000,609200,57308200,53778800
42817000,1532500,42827900,19341700
17590000,518800,51909800,14587700
34282500,10472700,66243700,20399200
22519600,616200,94024800,18682300
56735300,1351900,49934600,20514400
33528800,1545200,64732000,20678200
15329700,456300,71218000,24817200
22800000,10908900,69605900,23614800
36649100,641400,78807400,29333000
33069300,1422600,68906200,36284300
10676600,9769200,76199000,17733700
26115000,738800,69811700,27443200
32000400,10184900,65056800,16908900
46210900,1028100,51739800,23693900
47682100,623800,46065700,16377400
19478500,9890800,54347800,16877500
41981600,15375000,30949300,14093500
10810800,18368100,62876500,16740400
10655400,28127100,63135500,34781200
10051400,220400,67253900,16292600
10160800,540700,77788400,19405400
19040900,808700,78423600,13833300
29414300,522300,76393200,16985200
25528300,375200,110990800,15131500
9325900,1112000,111800000,16692400
11331600,830000,74414900,14805800
26063800,1138800,45923400,15144100
28008000,932600,89849900,17067500
37144000,12434200,66744100,19625700
31006500,473900,75652600,19185800
12412200,1253200,91708700,18439900
19839500,931400,72086000,17026000
12151200,1243700,97136000,19172600
17426800,1107900,81113400,18114400
39946900,10402200,46434300,18314300
52040500,763500,68037100,17089900
52550600,1313400,29596600,30450000
53837000,11325200,32107400,25167300
29153800,15143800,60090300,19405700
12713300,836300,85759400,16067300
9644100,1309300,73083000,14597300
12268600,483000,63967700,14821900
28273100,2250500,58049900,17965100
41924800,1299700,52321800,32029100
14241300,9300700,86229000,14757900
40615800,598600,44771700,16984300
46088000,1231300,32666400,15509300
