UsdCreate,Define World,Add 100 Refs to 2 File(s),Save 2 File
8621900,871200,219069900,6674200
7163500,1015900,256455200,6658100
7041700,552400,215625200,6685200
12061700,1241700,200605900,6857900
5648900,912900,190949100,7358600
21535700,1494200,196987100,7138700
16500400,1398100,212323500,7006000
8717300,917300,217440500,7309200
6271900,981100,191040800,6850600
10697400,954100,204563000,7120100
7344800,1164100,223784000,7098000
8467100,4646800,218906800,8008300
8627900,1051800,214277500,7520200
6966200,1300400,213710200,7089200
7472000,1636400,222240000,7700600
13091200,821700,210834600,8252300
16008000,1218800,227339000,7115300
16983200,1142200,206245500,7777600
13350800,366600,215346200,7427100
7321500,657600,212038400,7155000
6670700,1815700,221052900,7802200
7642800,998800,212245900,6642800
8124000,593900,205958100,7060800
8704200,740600,221961800,7090600
8968600,752800,192065500,6680900
10192800,1061200,222889900,6929000
13459100,915900,228208900,6920500
14713400,4563300,206905000,7961100
19255100,898300,186224900,6691900
18529900,4217800,198886500,7287500
10069900,793400,196944700,6559200
12131200,953900,218210900,6756400
12999200,1153500,210033700,6783100
12788700,1431000,200089000,6796000
7325800,907500,211795300,6691300
14268000,1434400,214298300,7011200
7758800,1052300,203109100,7708100
7634400,481300,216805000,6592600
7459000,1081000,205238200,7600000
7935800,1321500,211216300,6796700
8267200,947000,222352000,6887400
7516200,1389900,239888200,10388200
8576000,763800,204609700,8629900
8415600,699300,217615300,6954300
8733000,923500,221583800,7695200
7718100,1489000,215255900,7048400
7125800,1080900,204105200,8774700
7100500,1431500,206828600,6699500
7920900,1297500,212210300,7047400
8681900,805000,205854700,6804700
12773500,1436800,227159600,6581400
9284700,1993100,231377700,6862300
15073600,642900,189878200,7507400
7876000,2255600,214292600,8283200
11542200,1115400,208920000,6974400
7596400,618100,206024300,6730200
8025000,653600,203571400,6987200
15309400,4121600,202140200,7086800
7470800,4336800,221644000,6544900
7754500,746000,208129600,6540800
7790500,559800,230072700,6802100
7394900,743400,217565300,7375200
8500700,887700,209337100,7074200
8534700,592600,216414600,6831900
7742200,663000,224020700,6636000
6362600,890800,212023800,7941100
15245600,1281900,226253500,7042900
6316600,1579400,205694600,6995200
12677000,1624000,216051800,7239000
11602400,1199000,227894400,7395900
6774400,1027600,222449100,7081800
6405900,1745800,218745300,6783400
7906400,1329800,208772800,6643800
7065800,456900,216136900,9037300
6976100,713300,178122900,8540600
10736600,1433900,190261600,8836700
8288000,1209700,226668500,7506100
7570800,961800,204515000,7440900
8043600,1214800,210908900,6866500
7440300,1332600,199624300,6643500
7046200,764500,191708300,6742000
9470400,775300,216264400,7530700
8005100,642100,207550300,6918700
7459300,1196400,216051300,6656000
7397800,1254300,208519300,6644800
7326800,497800,220683800,8762900
11034600,1753600,212761300,6837700
7198200,1098600,226497300,6983500
8697200,1204800,205224400,6949600
7877000,1387300,211918600,8117900
8169700,1375400,214047000,7499400
7194200,1346900,239962000,7184000
8201700,1151600,220582300,6988200
9186300,1374600,214046200,9021600
8228500,790500,212856100,6987800
8809500,1146900,210530000,7469200
8758000,1606600,211419900,6982500
7371300,485700,213093400,6703500
7919700,1765800,209080800,7083800
9951000,920100,216922700,7163900
