UsdCreate,Define World,Add 10 Refs to 5 File(s),Save 5 File
69096000,12694100,124771400,51352400
91953900,1832000,72627000,51887000
120607600,1181200,105507700,37956400
99674600,1215000,64008000,51412000
131318700,29249400,41463300,57143200
126819400,27371100,70855800,39802700
96763800,1719000,137199700,54681300
46749600,18344000,117687200,41803000
72502500,2046700,127611900,70094100
101877300,1701700,68962100,95025100
101205100,1825100,101834900,45810200
79265900,10567500,153026300,47227000
88640900,1647700,108593300,43965300
124216900,1309000,43195500,52304700
127204700,1281000,42548400,55437600
103177500,17248900,77096000,46646700
131074100,9567200,60743500,41450100
88439000,1778800,93490900,61987200
71698200,1767800,128594400,42736900
72480100,2013600,99693400,35982500
142715800,1471300,36629500,37778600
90204900,40315300,97166600,41179100
52315900,8947800,134366100,36160500
84640100,948300,101433200,43182800
57993800,1488200,102622600,60381800
127574400,10765800,73729000,58029200
72856000,1389000,109976500,66454100
102996900,1730200,107043100,39013400
120635900,1947500,106856600,40840500
77584500,1890700,128818400,47686800
50014400,10297600,163946700,38416100
44993800,11477900,105774000,38458100
128724300,2005500,72738300,39599400
119772200,9868700,93992800,52292800
75921000,17122500,108719400,65568900
96125200,2401600,107586300,42162200
116547100,9893100,96717400,57016000
64391400,1618100,124398800,42678900
85646900,1846800,81374500,62118000
69243600,2413900,134431300,41732500
98797300,37009700,57129800,38821100
131168900,9896900,55443300,54985600
74538100,1610200,96515000,65481100
116410400,1462900,59783100,40800600
72905700,1867400,122270900,42047500
52038400,2329900,136405100,46644400
43334800,24794300,96030200,49520000
107932400,16460300,71683100,47965000
82187100,14370300,90909800,39573300
84548000,1934400,90667200,40402400
88283000,3161000,148638700,47830600
109574600,1251000,87069100,41316700
98380600,1311900,97928600,69480700
77322600,1396300,126568400,50984100
49715100,13369200,148726000,44045100
51391600,9902500,105835300,63071200
85143400,24435000,94176800,41155300
59396400,18017800,115120300,42748400
77433400,1861800,118146300,41606800
157309500,17492600,53211300,41746400
110940500,10290200,69271200,48131000
77407100,28801200,88671800,55943300
70882000,1749100,105062600,43898800
105721600,1501900,120483300,47079700
83974000,2197800,92286600,39764700
86247000,2620600,102529300,50636900
81258300,10836500,120082600,41958700
133553200,1208300,65884200,42755300
77072800,1681000,82470100,40801700
94629300,1971000,89528400,52651600
76566500,9757100,101829500,54119400
116936400,8956100,41182500,36827700
74089200,17579400,91566900,62222300
88295200,18122700,83298100,40840800
81950000,30777500,82382100,40504300
106657800,12748500,121453500,52927600
75438800,1565300,111502600,64015500
60272500,1495100,126298600,42026400
58603200,1583400,144306400,48003900
99950700,2528800,93807800,52327600
134786700,1182500,68447300,40064100
114083100,24600100,47483600,37372200
116727500,19055400,55813700,39933200
160366200,1830300,56410000,49759000
112483400,10100700,144296200,41113700
88876600,17816000,114822500,41447000
155935800,1737700,79063100,49081300
135327200,1612000,53240500,50183200
103113600,1705600,78645700,47981500
66332100,10484900,144555100,41267300
42636600,19515500,116651100,59776300
67079200,1436700,108507700,61914600
69175700,1936300,114984800,68507100
103977000,1693600,58695300,39841900
95636700,18762500,51846300,49728300
114408800,10279500,71367800,41130400
79205800,9793700,136374300,42769000
46537400,60653500,105133100,47614900
94620900,1312700,69841300,38314700
115051900,1157400,31082000,43171000
