UsdCreate,Define World,Add 10 Refs to 1 File(s),Save 1 File
30163600,1221300,39643300,3116100
3012100,303200,31620500,2471100
2424900,600200,32296400,2196200
3157400,641600,27468800,2301400
4065900,102000,20847900,2340800
5599800,268200,16998300,2285100
11700100,407000,19420500,2365700
5458800,292900,23943200,2328500
3443400,1077400,23454100,2206400
6954300,196000,25577600,2498000
3360500,180300,29322400,2448000
5129800,1015700,24014700,2405700
6012300,485700,22052500,2592600
6034800,588300,26792000,2617200
3792400,466500,24630200,2155300
5476300,268500,18881800,2221300
5580600,553300,23665400,2303000
3653800,3517600,30074800,2712300
7630700,403200,24645800,3094900
4010600,380600,26421400,2506100
3324000,696700,33985200,2871500
3931700,754500,31951500,3284400
4144500,273700,29879500,2680600
3265100,505000,26133300,2631900
3610300,166900,30710600,2960600
14144900,1722000,27218800,2559100
3165900,5905300,20497300,3355000
8060200,3207100,24112100,2723000
8489900,3196900,20866000,2326700
5893300,4341200,20785000,2260500
6261700,561600,28956100,2267200
8432100,403200,24743500,2268300
4340000,431900,28283400,2322100
3580700,277300,25155400,2164700
3221100,1001300,27323100,2212100
3323700,3485100,22986500,2333700
3634200,223700,24107500,2509100
3180500,581000,24992300,2538300
2678500,212200,20009800,2766800
10032100,859700,19446500,2230700
3261700,2810600,29341200,2294600
8359800,956300,22158100,2228700
3752900,533100,29868200,3125000
3557900,295100,33330800,2444700
4326100,3138200,23701400,2344800
3834200,587000,35279700,2456500
3741200,1281400,32560200,2353000
3288800,109500,29023800,2324600
3216000,650100,26533800,2704100
4493000,504100,30971900,2775800
13223200,2543300,34868000,2810800
6384100,717900,25443600,2567100
8570100,604600,27078000,2283700
5312500,682000,24139000,3256600
5625700,357100,29727700,2459000
4258500,161600,24623700,2331200
3680200,199900,30316900,2264400
3559700,219200,29038300,3174200
3622500,124700,25038800,2243300
3747200,906300,24118100,2289500
3569600,183500,26634400,2303500
3805900,647600,27040700,2512400
4230300,492600,24934700,2324500
4505200,1587500,29664300,2351700
3702500,168900,28059900,2398000
3216500,594300,25536900,2405300
3612700,358600,27358500,2819500
3691000,648500,27896000,2607500
3818800,673300,29221000,2392200
4397700,536000,32653300,2929400
3873800,639600,30001900,3606100
4402700,583400,28421600,2794100
4689100,520600,27199800,2341000
3824000,230600,30138200,2666900
3504600,498300,24709100,2476400
10779400,2028700,33654900,2214500
9398600,587000,20590400,2157200
8345300,3591800,24217800,2428600
8077900,2776400,21431700,2348900
9711200,367600,21108800,2475000
9082300,236700,23014100,2509500
5510400,140500,16088500,2309400
8862900,267600,18152300,2174100
3307600,2995600,31002500,2543800
3262500,146600,22882100,2274000
6317500,153800,23118500,2158900
3079100,482100,26731700,2284500
3813800,5812600,22602000,2425000
8258800,632500,23756700,3229800
6660300,243400,30593600,2151400
3519300,587100,25941200,2272100
4586800,527900,27482200,3253700
4190400,341600,32602400,2555300
4299900,3294700,26442600,2459000
3538300,168200,27556900,2937800
3691400,686400,35376800,2494200
3586700,759800,31397000,2387100
3518500,3880700,26454800,2350800
8559700,173500,25025800,2653700
8931100,947500,21945200,2581200
